,album,artist,name,release_date,popularity,acousticness,danceability,energy,instrumentalness,key,length,liveness,loudness,mode,speechiness,tempo,time_signature,valence,class,feels
1410,TIM,Avicii,SOS (feat. Aloe Blacc),2019-06-06,69,0.5544577964321729,1.0024430417710373,-0.2728984015049272,-0.1569831916357758,-0.06807318592455565,-1.6583467503980378,-0.41243847206139517,-0.1996312325557491,-1.2186800727216054,-0.28858480886848037,-0.7413739891773125,0.07684638870544681,-0.7022823843246385,0,dance
1411,Slide Away,Miley Cyrus,Slide Away,2019-08-16,69,0.05412640375878809,-0.9562281621447638,-0.929801563524708,-0.15694818887863546,-0.06807318592455565,0.21359515658013178,0.5451049346952808,-0.44187468811818986,0.8205599011451459,-0.6936101728088756,1.0157092480043906,0.07684638870544681,-1.0898101269561877,2,study
1412,Sueños,Sech,Otro Trago,2019-04-19,69,-0.11265072713234016,0.5991872056707249,0.06476210233701578,-0.15501660563389918,-1.4441240156852164,0.02454498832059054,-0.4792438260211632,0.5463404676691201,0.8205599011451459,2.5838977064456397,2.039351933923797,0.07684638870544681,0.36782263226020745,3,driving
1413,If I Can't Have You,Shawn Mendes,If I Can't Have You,2019-05-03,69,1.7905706489193587,0.21033336371685238,0.7339438281328678,-0.1569831916357758,-0.893703683780952,-0.8356932659809847,-0.20459959307545006,0.7787165726994857,0.8205599011451459,-0.4090265618297032,0.13296233134328128,0.07684638870544681,1.446735097541225,1,positive
1414,Heaven & Hell,Ava Max,So Am I,2020-09-18,69,-0.412849562736371,0.1311223959114347,-0.19922701884850316,-0.1569831916357758,0.2071369800275765,-1.0260411494222066,1.324500730892575,0.5453537326159122,0.8205599011451459,-0.5902221193819852,0.3588782572394012,0.07684638870544681,0.4074561513929796,1,positive
1415,Happiness Begins,Jonas Brothers,Only Human,2019-06-07,69,-0.24999659963091642,0.9520360622584982,-1.1876514028221923,-0.1569831916357758,-1.4441240156852164,-1.026677764416993,-0.8169820043733241,-0.05260770962783178,0.8205599011451459,-0.28112381532220987,-0.9604517347330999,0.07684638870544681,1.490772341022083,1,positive
1416,nothings ever good enough,iann dior,emotions,2019-05-22,69,-0.7155010032064478,-0.2361284548227783,-0.36498762982545735,-0.1569831916357758,1.0327674778839728,-2.294692408071554,-0.2417136786086546,-0.2144322583538617,0.8205599011451459,-0.629658799555129,-1.4540440247534672,0.07684638870544681,-1.6402756704669108,1,positive
1417,Homerun,Paulo Londra,Adan y Eva,2019-05-23,68,0.8046234927688651,0.7504081442083421,0.12001563932933383,-0.1569831916357758,-1.1689138497330842,0.7845163809432613,-0.7427538333069151,0.6445206054632662,0.8205599011451459,2.5306048954008507,1.8912157384227957,0.07684638870544681,0.8125987914168717,3,driving
1418,Baby On Baby,DaBaby,Suge,2019-03-01,68,-0.4815224989856592,1.5353168251893063,-0.16853060940832645,-0.1569831916357758,-0.893703683780952,-1.508546345086307,-0.35305593520826795,-0.3481348580634777,-1.2186800727216054,3.48987549420705,-1.6393331145099646,0.07684638870544681,1.3586606105795092,3,driving
1419,Free Spirit,Khalid,Talk (feat. Disclosure),2019-04-05,68,-0.5266504285209056,1.708140754946583,-1.777022464073584,-0.1569831916357758,-1.4441240156852164,-0.6698550598390507,-0.8511269630638721,-1.3807530912451247,0.8205599011451459,0.30296539372867604,0.5744454931017563,0.07684638870544681,-0.8343941147672121,2,study
1420,Never Really Over,Katy Perry,Never Really Over,2019-05-31,68,0.17185143732899621,0.7720111354280017,1.182111405959447,-0.1569831916357758,0.7575573119318407,-0.03446432465771465,1.0498564979468619,0.48565626189685884,0.8205599011451459,-0.4090265618297032,-0.7417396672703785,0.07684638870544681,-0.6626488651918664,1,positive
1421,Panini,Lil Nas X,Panini,2019-09-13,68,0.8978224776786133,0.2895443315222709,-0.5860017777947296,-0.1569831916357758,-0.06807318592455565,-2.6942907432607406,-0.38274720363483156,-0.1823633691246178,-1.2186800727216054,-0.24914812869533653,1.2276928385547003,0.07684638870544681,-0.2663136738641458,0,dance
1422,No.6 Collaborations Project,Ed Sheeran,I Don't Care (with Justin Bieber),2019-07-12,68,-0.33730933286215414,0.9736390534781578,-0.0825806629758317,-0.1569831916357758,0.2071369800275765,-0.12204785682509958,-0.6321538584179658,0.362807747772525,0.8205599011451459,-0.5795635571730274,-0.6698839219829269,0.07684638870544681,1.3542568862314235,1,positive
1423,ICY,Saweetie,My Type,2019-03-29,67,-0.7764384237082268,1.7009397578733632,0.7462223919089385,-0.1569831916357758,-0.893703683780952,-2.4114133188464835,-0.7969403981853938,-0.2553817630619726,0.8205599011451459,1.6992370431021444,-0.5571819337000132,0.07684638870544681,0.2269034531214622,3,driving
1424,Motivation,Normani,Motivation,2019-08-16,67,-0.6855792238406867,-0.45935936409259404,1.2128078153996236,-0.15696822579261685,-0.3432833518766878,-0.7613317375514773,0.9310914242406074,0.8926844713449519,0.8205599011451459,-0.0018694854475162501,1.8519053434182107,0.07684638870544681,1.5215984114586834,1,positive
1425,LOVE FOR GUALA,Flipp Dinero,Leave Me Alone,2019-11-22,67,-0.25490180936300844,0.9304330710388387,0.3287512235225354,-0.1569831916357758,0.4823471459797086,-0.7172583917585522,0.06262182276362233,1.465484169731905,0.8205599011451459,-0.14362836282665467,1.0878575357662954,0.07684638870544681,0.9094807270747591,1,positive
1426,FATHER OF 4,Offset,Clout (feat. Cardi B),2019-02-22,66,0.3386285682201245,1.8449596993377604,-0.41410188492974004,-0.1569307493423924,-1.1689138497330842,-0.46834192879695447,-0.3901700207414725,-0.7931523670600598,0.8205599011451459,0.011986645424128806,0.7221063070817706,0.07684638870544681,-0.49090361561652085,1,positive
1427,AJ Tracey,AJ Tracey,Ladbroke Grove,2019-02-08,66,-0.3221031826926689,1.7225427490930227,0.9181222847739273,-0.1569831916357758,1.5831878097882373,-0.8421328715051731,-0.5386263628742904,-1.810969574443594,-1.2186800727216054,1.1663089326542555,0.5014927135351068,0.07684638870544681,0.8434248618534723,3,driving
1428,Freya Ridings,Freya Ridings,Lost Without You,2019-07-19,66,3.7918962196128976,-1.9931717406884233,-3.3977928825149126,-0.1569831916357758,0.2071369800275765,0.022586172952016096,-0.8110437506880114,-1.7221634196549194,0.8205599011451459,-0.5625098576386951,-1.9475631791552208,-4.625321828298076,-1.9282792428317213,2,study
1429,CALM,5 Seconds of Summer,Easier,2020-03-27,65,1.555120581778942,-0.7257962558017281,-1.408665550791464,-0.1569831916357758,-0.06807318592455565,-1.636408018270004,-0.5015122773410859,0.7910507608645796,0.8205599011451459,1.709895605311102,2.0397541798261694,0.07684638870544681,0.3854375296525506,3,driving
1430,Blinding Lights,The Weeknd,Blinding Lights,2019-11-29,17,-0.7725485923906779,-1.0786451123895013,0.6541331635884085,-0.1543981823628688,-1.1689138497330842,-0.5719142914103283,-0.5994934631487459,0.839400778471747,0.8205599011451459,-0.3802484438655172,1.8555255565395627,0.07684638870544681,-0.8387978391152979,1,positive
1431,Fine Line,Harry Styles,Watermelon Sugar,2019-12-13,86,-0.1813236633816283,-0.8266102148268063,0.7769188013491145,-0.1569831916357758,-1.4441240156852164,-1.2470444933816185,1.190890022973039,0.7732895299068449,0.8205599011451459,-0.5550488640924246,-0.9099881578900043,0.07684638870544681,0.09479172267888898,1,positive
1432,positions,Ariana Grande,positions,2020-10-23,2,1.5158789039222063,0.5271772349385263,0.6909688549166204,-0.1569831916357758,-1.4441240156852164,-1.2880816753532531,-0.5980088997274177,0.5019373902747823,0.8205599011451459,-0.12977223195500948,0.8677558915499232,0.07684638870544681,0.6144311957530117,1,positive
1433,Mood (feat. iann dior),24kGoldn,Mood (feat. iann dior),2020-07-24,18,0.3042921000954804,0.2679413403026113,0.19982630387379324,-0.1569831916357758,0.4823471459797086,-2.066686299169488,0.7232525452546624,1.0944717897258855,-1.2186800727216054,-0.6573710612984192,-1.0709230866483117,0.07684638870544681,0.9711328679479602,0,dance
1434,Please Excuse Me for Being Antisocial,Roddy Ricch,The Box,2019-12-06,79,-0.26961743855928444,1.6793367666537036,-0.6351160328990123,-0.1569831916357758,1.307977643836105,-0.6924059217697639,4.568271806494648,-0.4492752010172464,-1.2186800727216054,-0.4548583793282216,-0.12081826524446106,0.07684638870544681,0.4691082922661806,0,dance
1435,ROXANNE,Arizona Zervas,ROXANNE,2019-10-10,74,-0.5237073026816504,-0.3009374284817571,-0.5430268045784822,-0.1569831916357758,0.2071369800275765,-1.500809024380438,2.118742161303152,0.07912141997536946,-1.2186800727216054,0.5267952001167892,-0.1294482682408167,4.779014605708969,-0.34558071212968977,0,dance
1436,Hot Pink,Doja Cat,Say So,2019-11-07,75,0.5152161185754367,0.8944280856727393,-0.10099850863993773,-0.15694175727661674,1.5831878097882373,0.31738788592247025,-0.6247310413113248,0.5887700749570423,-1.2186800727216054,0.6440393844153247,-0.34055423136776714,0.07684638870544681,1.0724185279539333,0,dance
1437,Dynamite,BTS,Dynamite,2020-08-21,0,-0.7248209016974227,0.5991872056707249,0.4638154250593129,-0.1569831916357758,0.2071369800275765,-0.6336169755204234,-0.6009780265700739,0.6741226570594909,-1.2186800727216054,0.007723220540545723,-0.22785224308485352,0.07684638870544681,0.8874621053343302,0,dance
1438,Rain On Me (with Ariana Grande),Lady Gaga,Rain On Me (with Ariana Grande),2020-05-22,70,-0.676749846322921,0.06631342225245593,1.0163507949824928,-0.1569831916357758,1.0327674778839728,-1.0462659181027376,1.1018162176933481,0.9928380792455131,0.8205599011451459,-0.6275270871133375,0.10169685438614573,0.07684638870544681,0.4867231896585238,1,positive
1439,Where the Light Is,Surfaces,Sunday Best,2019-01-06,73,0.1178941302759841,1.549718819335746,-1.0096122280691673,-0.1569831916357758,-0.06807318592455565,-1.6248265224033076,-0.7657645663375019,-0.5208134923747898,0.8205599011451459,-0.4346071111312018,-0.3017923535027805,0.07684638870544681,0.6981019583666412,1,positive
1440,Certified Hitmaker,Lil Mosey,Blueberry Faygo,2020-02-06,72,0.23561916384619225,0.8008151237208812,-0.8315730533161425,-0.1569831916357758,-1.4441240156852164,-1.5274978837772648,-0.31594184967506345,-1.052170318527028,0.8205599011451459,-0.6424490742058784,-0.776735060776786,0.07684638870544681,-0.8211829417229548,2,study
1441,death bed (coffee for your head),Powfu,death bed (coffee for your head),2020-02-08,80,2.805949063462404,0.4551672642063277,-1.586704725544489,-0.1569831916357758,0.7575573119318407,-1.2633761165171078,3.8705269984704027,-1.4744929212998377,-1.2186800727216054,0.38823389140033826,0.8685238155453622,0.07684638870544681,-0.8255866660710406,2,study
1442,folklore,Taylor Swift,august,2020-07-24,80,1.8592435851686469,-0.9418261679983241,-0.40796260304170473,-0.15608276735315557,-0.06807318592455565,0.9057425670659124,-0.609143125387379,-1.6930547355852985,0.8205599011451459,-0.6978735976924587,-1.1093924220388458,0.07684638870544681,-0.5833818269263221,2,study
1443,Kid Krow,Conan Gray,Heather,2020-03-20,84,2.0848832328448785,-2.202000655811799,-1.623540416872701,-0.1569831916357758,-0.06807318592455565,-0.6584204751249974,1.0943934005867073,-0.7522028623519484,0.8205599011451459,-0.6957418852506672,-0.6654226492475227,-4.625321828298076,-1.1690771652217318,2,study
1444,B4 The Storm,Internet Money,"Lemonade (feat. Gunna, Don Toliver & NAV)",2020-08-29,51,0.4465431823261486,0.9880410476245975,-0.19308773696046783,-0.1569831916357758,-1.1689138497330842,-0.7223757969089529,-0.47182100891452233,-0.18038989901820304,-1.2186800727216054,-0.20864559230129703,0.7228376632679028,0.07684638870544681,-0.3235620903892608,0,dance
1445,Shoot For The Stars Aim For The Moon,Pop Smoke,What You Know Bout Love,2020-07-03,78,2.4086270751629515,0.33275031396159005,-0.8684087446443546,-0.156963525775757,1.307977643836105,-1.5898371828821465,-0.3085190325684225,-1.3402969540636178,0.8205599011451459,2.7118004529531325,-1.3266783449386101,0.07684638870544681,0.03313958180568793,3,driving
1446,WAP (feat. Megan Thee Stallion),Cardi B,WAP (feat. Megan Thee Stallion),2020-08-07,77,-0.6845981818942682,1.9601756525092782,-1.4455012421196762,-0.1569831916357758,-1.1689138497330842,-0.9154905070582862,-0.6841135781644521,-0.8548233078855284,0.8205599011451459,2.9462888215502034,0.46799660021026945,0.07684638870544681,-0.7859531469382685,3,driving
1447,Nicotine,Trevor Daniel,Falling,2020-03-26,12,-0.17641845364953632,0.8728250944530798,-1.5928440074325243,-0.1569831916357758,1.307977643836105,-1.6049935167964913,-0.6373498303926144,-1.4700526135604037,-1.2186800727216054,-0.6627003424028981,0.2491016937010148,0.07684638870544681,-1.3188037930566485,2,study
1448,Music To Be Murdered By,Eminem,Godzilla (feat. Juice WRLD),2020-01-17,80,-0.06850383954351219,1.0456490242103564,0.34102978729860606,-0.1569831916357758,1.307977643836105,-0.34598942383737313,0.8717088873874802,0.25476025944630415,-1.2186800727216054,2.5945562686545975,1.6718820182018626,0.07684638870544681,1.2926047453582223,3,driving
1449,BLAME IT ON BABY,DaBaby,ROCKSTAR (feat. Roddy Ricch),2020-04-17,76,0.43182755312987253,0.5991872056707249,0.0033692834566623753,-0.1569831916357758,1.5831878097882373,-1.057700502816791,-0.5460491799809313,-1.0753585922774043,0.8205599011451459,0.6973321954601136,-1.1079297096665819,0.07684638870544681,-0.1694317382062584,3,driving
1450,High Off Life,Future,Life Is Good (feat. Drake),2020-05-15,69,-0.45111019864668866,0.9520360622584982,-0.7087874155554363,-0.1569831916357758,-0.893703683780952,0.31800001572514974,-0.18233114175552734,-0.5558425867636559,-1.2186800727216054,4.140047788953474,0.7963755277834574,0.07684638870544681,0.006717235717173189,3,driving
1451,Changes,Justin Bieber,Intentions (feat. Quavo),2020-02-14,73,0.6918036689307488,1.0312470300639167,-0.8806873084204252,-0.1569831916357758,1.0327674778839728,-0.29540301694393806,-0.5386263628742904,-0.42460682468705857,0.8205599011451459,-0.4378046797938891,1.0133323403994623,0.07684638870544681,1.490772341022083,1,positive
1452,Roses (Imanbek Remix),SAINt JHN,Roses - Imanbek Remix,2019-09-13,56,-0.7066716256886822,0.8800260915262996,0.1936870219857579,-0.1035514210187516,0.7575573119318407,-1.1927363372878919,0.8197491676409938,0.15756685670536552,0.8205599011451459,-0.5113487590356978,0.06169167100473525,0.07684638870544681,1.5788468279837986,1,positive
1453,Come & Go (with Marshmello),Juice WRLD,Come & Go (with Marshmello),2020-07-09,61,-0.6948991223316614,-0.27213344018887764,0.7462223919089385,-0.1569831916357758,-1.4441240156852164,-0.4761527050791451,-0.10810297068911828,0.2927495589947928,0.8205599011451459,-0.34827275723864387,0.903921454954142,0.07684638870544681,-0.01530138602325576,1,positive
1454,UN DIA (ONE DAY) (Feat. Tainy),J Balvin,UN DIA (ONE DAY) (Feat. Tainy),2020-07-24,71,-0.75346732653284,-0.6609872821427502,0.021787129120768394,-0.1569831916357758,0.2071369800275765,0.1792914024379718,-0.01160634830278672,-1.2125147646732464,-1.2186800727216054,-0.46978036642076243,1.7513804356343918,0.07684638870544681,-0.62741907040718,0,dance
1455,Monster,Shawn Mendes,Monster (Shawn Mendes & Justin Bieber),2020-11-20,69,-0.4481670728074335,-0.07770651921194133,-1.881390256170185,-0.1569831916357758,-0.893703683780952,-1.1247654439983585,-0.6811444513217957,-0.6411951688661046,-1.2186800727216054,-0.50069019682674,0.9321152359295233,0.07684638870544681,0.05956192789420267,0,dance
1456,you broke me first,Tate McRae,you broke me first,2020-04-17,80,3.0708303889953723,0.030308436886356618,-1.9427830750505384,-0.1569831916357758,-0.3432833518766878,-1.3629818780091185,-0.6232464778899967,-1.7823542579005767,0.8205599011451459,-0.5177438963610724,0.1416289021489432,0.07684638870544681,-1.995656225357434,2,study
1457,Stuck with U,Ariana Grande,Stuck with U (with Justin Bieber),2020-05-08,79,0.3141025195596644,-0.47376135823903376,-1.4700583696718175,-0.1569831916357758,0.7575573119318407,0.08695774300179383,1.5397624269851613,-0.4349675427457377,0.8205599011451459,-0.6051441064745262,2.1388529430470307,-4.625321828298076,0.006717235717173189,2,study
1458,Break My Heart,Dua Lipa,Break My Heart,2020-03-25,65,0.03941077456251205,0.4839712524992072,0.24280127709004062,-0.15696599946884113,-0.3432833518766878,-0.07616260681624318,1.2948094624660114,1.1556493630247502,-1.2186800727216054,-0.10632339509530245,-0.26559022228925544,0.07684638870544681,-0.30154346864883186,0,dance
1459,Party Girl,StaySolidRocky,Party Girl,2020-04-21,68,2.8942428386400603,0.46956925835276747,-1.586704725544489,-0.1569831916357758,0.2071369800275765,-1.8885565265897495,-0.5564411239302286,-2.06702732075094,-1.2186800727216054,-0.38770943741178765,0.35642821401585933,0.07684638870544681,0.41185987574106536,2,study
1460,Shoot For The Stars Aim For The Moon,Pop Smoke,For The Night (feat. Lil Baby & DaBaby),2020-07-03,77,-0.22056534123836435,1.1536639803086537,-0.6351160328990123,-0.1569831916357758,0.2071369800275765,-0.8436264682237112,0.13684999383003138,-0.40931243136234247,-1.2186800727216054,1.0810404349825935,0.2082920185148591,0.07684638870544681,-0.8299903904191264,3,driving
1461,HIGHEST IN THE ROOM,Travis Scott,HIGHEST IN THE ROOM,2019-10-04,79,-0.5119347993246295,-0.4665603611658139,-1.6112618530966303,-0.15691108348237362,0.4823471459797086,-1.2049299629572678,0.26303788464292654,-1.4739995537732333,-1.2186800727216054,-0.7127955847849997,-1.6018876777800153,0.07684638870544681,-2.0916574161457038,2,study
1462,Fine Line,Harry Styles,Adore You,2019-12-13,82,-0.6635057800462726,0.09511741054533539,0.5006511163875249,-0.15689661237783153,0.7575573119318407,-0.4357766232944043,-0.5386263628742904,1.0367477891132468,0.8205599011451459,-0.5358634521163006,-0.7762231114464939,0.07684638870544681,0.14763641485591797,1,positive
1463,Hey u x,BENEE,Supalonely (feat. Gus Dapperton),2020-11-13,58,0.6476567813419207,1.4345028661642283,-0.358848347937422,-0.1543981823628688,0.4823471459797086,-0.035321306381465974,-0.38274720363483156,0.508351168120631,0.8205599011451459,-0.5017560530476358,0.31825142109977883,0.07684638870544681,1.345449437535252,1,positive
